id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,motivo_rechazo
41,Carlos Mendoza Flores,carlos.mendoza.flores6@seguro.sv,Masculino,,Sonsonate,pyme,fechaNacimiento_vacio
42,Sofia Torres Mendoza,sofia.torres.mendoza0@mail.com,Femenino,,San Miguel,regular,fechaNacimiento_vacio
43,Ana Castillo Castillo,ana.castillo.castillo1@seguro.sv,Femenino,,Sonsonate,regular,fechaNacimiento_vacio
44,Marta Ortiz Ortiz,marta.ortiz.ortiz2@example.com,Masculino,,Sonsonate,premium,fechaNacimiento_vacio
45,Andres Martinez Reyes,andres.martinez.reyes3@seguro.sv,,,La Libertad,premium,genero_vacio;fechaNacimiento_vacio
48,Fernanda Morales Reyes,fernanda.morales.reyes6@seguro.sv,Masculino,,Sonsonate,premium,fechaNacimiento_vacio
49,Carlos Cruz Garcia,carlos.cruz.garcia0@mail.com,,,San Miguel,vip,genero_vacio;fechaNacimiento_vacio
51,Carmen Gomez Garcia,carmen.gomez.garcia2@gmail.com,Masculino,,La Libertad,premium,fechaNacimiento_vacio
52,Diego Chavez Flores,diego.chavez.flores3@mail.com,,,Sonsonate,vip,genero_vacio;fechaNacimiento_vacio
53,Paula Vasquez Santos,paula.vasquez.santos4@seguro.sv,Femenino,,San Miguel,pyme,fechaNacimiento_vacio
54,Ricardo Hernandez Cruz,ricardo.hernandez.cruz5@gmail.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
56,Karla Flores Perez,karla.flores.perez0@mail.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
57,Luis Garcia Castillo,luis.garcia.castillo1@correo.com,Masculino,,Sonsonate,No especificado,fechaNacimiento_vacio
58,Daniela Flores Gomez,daniela.flores.gomez2@seguro.sv,Femenino,,San Salvador,vip,fechaNacimiento_vacio
59,Luis Cruz Morales,luis.cruz.morales3@mail.com,,,San Miguel,vip,genero_vacio;fechaNacimiento_vacio
60,Paula Vasquez Flores,paula.vasquez.flores4@example.com,Masculino,,La Libertad,No especificado,fechaNacimiento_vacio
61,Fernanda Reyes Torres,fernanda.reyes.torres5@seguro.sv,Femenino,,San Salvador,vip,fechaNacimiento_vacio
62,Juan Castillo Aguilar,juan.castillo.aguilar6@gmail.com,Femenino,,La Libertad,No especificado,fechaNacimiento_vacio
63,Andres Santos Perez,andres.santos.perez0@seguro.sv,Femenino,,San Miguel,regular,fechaNacimiento_vacio
64,Sofia Chavez Chavez,sofia.chavez.chavez1@mail.com,Masculino,,Sonsonate,vip,fechaNacimiento_vacio
65,Lucia Flores Ramirez,lucia.flores.ramirez2@seguro.sv,Masculino,,Sonsonate,vip,fechaNacimiento_vacio
66,Marta Cruz Perez,marta.cruz.perez3@mail.com,Masculino,,Sonsonate,premium,fechaNacimiento_vacio
68,Ana Perez Lopez,ana.perez.lopez5@correo.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
69,Juan Perez Rojas,juan.perez.rojas6@mail.com,,,San Miguel,No especificado,genero_vacio;fechaNacimiento_vacio
71,Juan Aguilar Morales,juan.aguilar.morales1@seguro.sv,,,San Salvador,No especificado,genero_vacio;fechaNacimiento_vacio
72,Luis Garcia Perez,luis.garcia.perez2@gmail.com,Masculino,,La Libertad,No especificado,fechaNacimiento_vacio
74,Diego Rojas Reyes,diego.rojas.reyes4@mail.com,Femenino,,San Miguel,regular,fechaNacimiento_vacio
75,Luis Aguilar Garcia,luis.aguilar.garcia5@mail.com,,,San Miguel,No especificado,genero_vacio;fechaNacimiento_vacio
76,Juan Santos Ortiz,juan.santos.ortiz6@mail.com,,,La Libertad,regular,genero_vacio;fechaNacimiento_vacio
77,Karla Castillo Vasquez,karla.castillo.vasquez0@correo.com,Femenino,,Santa Ana,regular,fechaNacimiento_vacio
78,Fernanda Vasquez Hernandez,fernanda.vasquez.hernandez1@correo.com,,2008-06-01,Sonsonate,No especificado,genero_vacio
79,Ana Torres Flores,ana.torres.flores2@example.com,Femenino,,San Salvador,premium,fechaNacimiento_vacio
82,Carmen Torres Martinez,carmen.torres.martinez5@seguro.sv,Masculino,,La Libertad,pyme,fechaNacimiento_vacio
83,Andres Flores Ramirez,andres.flores.ramirez6@example.com,,,San Miguel,pyme,genero_vacio;fechaNacimiento_vacio
84,Daniela Castillo Martinez,daniela.castillo.martinez0@gmail.com,Femenino,,Santa Ana,premium,fechaNacimiento_vacio
85,Luis Flores Castillo,luis.flores.castillo1@seguro.sv,,,Santa Ana,No especificado,genero_vacio;fechaNacimiento_vacio
86,Diego Mendoza Ortiz,diego.mendoza.ortiz2@mail.com,,,La Libertad,pyme,genero_vacio;fechaNacimiento_vacio
87,Maria Reyes Santos,maria.reyes.santos3@seguro.sv,Femenino,,La Libertad,regular,fechaNacimiento_vacio
88,Carmen Torres Chavez,carmen.torres.chavez4@mail.com,,,Santa Ana,No especificado,genero_vacio;fechaNacimiento_vacio
89,Lucia Mendoza Garcia,lucia.mendoza.garcia5@example.com,Masculino,,Santa Ana,No especificado,fechaNacimiento_vacio
90,Jose Mendoza Mendoza,jose.mendoza.mendoza6@example.com,Femenino,,Santa Ana,premium,fechaNacimiento_vacio
91,Valeria Ramirez Gomez,valeria.ramirez.gomez0@mail.com,Femenino,,La Libertad,No especificado,fechaNacimiento_vacio
92,Paula Santos Torres,paula.santos.torres1@example.com,Femenino,,San Salvador,pyme,fechaNacimiento_vacio
93,Carlos Flores Santos,carlos.flores.santos2@mail.com,Femenino,,La Libertad,vip,fechaNacimiento_vacio
95,Jorge Ortiz Martinez,jorge.ortiz.martinez4@gmail.com,Masculino,,San Miguel,pyme,fechaNacimiento_vacio
97,Paula Chavez Mendoza,paula.chavez.mendoza6@example.com,Femenino,,La Libertad,regular,fechaNacimiento_vacio
98,Karla Martinez Reyes,karla.martinez.reyes0@gmail.com,Masculino,,San Miguel,No especificado,fechaNacimiento_vacio
99,Luis Reyes Garcia,luis.reyes.garcia1@example.com,Femenino,,Santa Ana,vip,fechaNacimiento_vacio
101,Pedro Lopez Vasquez,pedro.lopez.vasquez3@correo.com,Femenino,,Santa Ana,premium,fechaNacimiento_vacio
102,Luis Garcia Castillo,luis.garcia.castillo4@gmail.com,Masculino,,San Miguel,premium,fechaNacimiento_vacio
103,Karla Morales Perez,karla.morales.perez5@gmail.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
105,Sofia Vasquez Santos,sofia.vasquez.santos0@example.com,,1979-07-12,Sonsonate,premium,genero_vacio
107,Carlos Garcia Gomez,carlos.garcia.gomez2@gmail.com,Femenino,,San Salvador,pyme,fechaNacimiento_vacio
108,Pedro Lopez Rojas,pedro.lopez.rojas3@example.com,Masculino,,San Salvador,premium,fechaNacimiento_vacio
109,Ana Reyes Hernandez,ana.reyes.hernandez4@correo.com,Femenino,,San Miguel,premium,fechaNacimiento_vacio
110,Ricardo Chavez Torres,ricardo.chavez.torres5@mail.com,Femenino,,Santa Ana,No especificado,fechaNacimiento_vacio
111,Daniela Rojas Hernandez,daniela.rojas.hernandez6@example.com,Masculino,,Santa Ana,No especificado,fechaNacimiento_vacio
113,Carlos Rojas Lopez,carlos.rojas.lopez1@gmail.com,,,San Salvador,regular,genero_vacio;fechaNacimiento_vacio
114,Maria Mendoza Ortiz,maria.mendoza.ortiz2@gmail.com,Masculino,,La Libertad,vip,fechaNacimiento_vacio
115,Lucia Vasquez Flores,lucia.vasquez.flores3@mail.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
116,Luis Martinez Vasquez,luis.martinez.vasquez4@correo.com,Masculino,,La Libertad,premium,fechaNacimiento_vacio
117,Maria Chavez Martinez,maria.chavez.martinez5@correo.com,Femenino,,San Miguel,pyme,fechaNacimiento_vacio
118,Fernanda Aguilar Flores,fernanda.aguilar.flores6@correo.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
119,Jose Vasquez Rojas,jose.vasquez.rojas0@seguro.sv,Femenino,,La Libertad,regular,fechaNacimiento_vacio
120,Daniela Flores Garcia,daniela.flores.garcia1@seguro.sv,Femenino,,Sonsonate,regular,fechaNacimiento_vacio
121,Jose Garcia Reyes,jose.garcia.reyes2@seguro.sv,Femenino,,Santa Ana,regular,fechaNacimiento_vacio
122,Paula Martinez Vasquez,paula.martinez.vasquez3@example.com,Masculino,,San Salvador,regular,fechaNacimiento_vacio
123,Daniela Gomez Lopez,daniela.gomez.lopez4@seguro.sv,Femenino,,San Salvador,regular,fechaNacimiento_vacio
124,Pedro Morales Santos,pedro.morales.santos5@seguro.sv,Femenino,,La Libertad,No especificado,fechaNacimiento_vacio
125,Luis Mendoza Vasquez,luis.mendoza.vasquez6@example.com,Masculino,,San Salvador,pyme,fechaNacimiento_vacio
126,Daniela Morales Ortiz,daniela.morales.ortiz0@example.com,,,Sonsonate,pyme,genero_vacio;fechaNacimiento_vacio
127,Sofia Hernandez Perez,sofia.hernandez.perez1@seguro.sv,Masculino,,San Miguel,No especificado,fechaNacimiento_vacio
129,Luis Cruz Aguilar,luis.cruz.aguilar3@gmail.com,Femenino,,Sonsonate,No especificado,fechaNacimiento_vacio
130,Maria Garcia Castillo,maria.garcia.castillo4@seguro.sv,Masculino,,La Libertad,vip,fechaNacimiento_vacio
131,Luis Reyes Garcia,luis.reyes.garcia5@gmail.com,Femenino,,Sonsonate,premium,fechaNacimiento_vacio
132,Luis Rojas Mendoza,luis.rojas.mendoza6@gmail.com,Femenino,,Santa Ana,regular,fechaNacimiento_vacio
134,Karla Ortiz Garcia,karla.ortiz.garcia1@gmail.com,Femenino,,Santa Ana,No especificado,fechaNacimiento_vacio
135,Marta Santos Martinez,marta.santos.martinez2@gmail.com,Femenino,,Sonsonate,No especificado,fechaNacimiento_vacio
136,Ana Aguilar Ortiz,ana.aguilar.ortiz3@example.com,,,La Libertad,pyme,genero_vacio;fechaNacimiento_vacio
137,Maria Martinez Gomez,maria.martinez.gomez4@seguro.sv,Masculino,,Sonsonate,regular,fechaNacimiento_vacio
138,Marta Vasquez Morales,marta.vasquez.morales5@gmail.com,Masculino,,San Miguel,pyme,fechaNacimiento_vacio
139,Jose Flores Chavez,jose.flores.chavez6@mail.com,Femenino,,Sonsonate,premium,fechaNacimiento_vacio
140,Carmen Reyes Santos,carmen.reyes.santos0@correo.com,,2004-09-10,La Libertad,regular,genero_vacio
142,Carlos Aguilar Torres,carlos.aguilar.torres2@example.com,Masculino,,San Salvador,premium,fechaNacimiento_vacio
145,Jose Morales Vasquez,jose.morales.vasquez5@gmail.com,Femenino,,Santa Ana,No especificado,fechaNacimiento_vacio
146,Lucia Mendoza Martinez,lucia.mendoza.martinez6@example.com,,1944-01-24,La Libertad,No especificado,genero_vacio
147,Daniela Perez Reyes,daniela.perez.reyes0@seguro.sv,Femenino,,Sonsonate,No especificado,fechaNacimiento_vacio
148,Daniela Ortiz Aguilar,daniela.ortiz.aguilar1@seguro.sv,Femenino,,San Miguel,pyme,fechaNacimiento_vacio
149,Jorge Castillo Lopez,jorge.castillo.lopez2@gmail.com,Femenino,,San Salvador,pyme,fechaNacimiento_vacio
150,Carmen Mendoza Torres,carmen.mendoza.torres3@correo.com,Masculino,,San Salvador,vip,fechaNacimiento_vacio
151,Sofia Lopez Chavez,sofia.lopez.chavez4@seguro.sv,Masculino,,Sonsonate,pyme,fechaNacimiento_vacio
152,Juan Perez Mendoza,juan.perez.mendoza5@seguro.sv,Masculino,,San Miguel,pyme,fechaNacimiento_vacio
153,Fernanda Reyes Ortiz,fernanda.reyes.ortiz6@example.com,Femenino,,Santa Ana,regular,fechaNacimiento_vacio
154,Fernanda Castillo Cruz,fernanda.castillo.cruz0@correo.com,,,La Libertad,No especificado,genero_vacio;fechaNacimiento_vacio
155,Valeria Castillo Hernandez,valeria.castillo.hernandez1@seguro.sv,,,Santa Ana,vip,genero_vacio;fechaNacimiento_vacio
156,Carlos Garcia Vasquez,carlos.garcia.vasquez2@seguro.sv,Masculino,,Sonsonate,No especificado,fechaNacimiento_vacio
157,Valeria Perez Hernandez,valeria.perez.hernandez3@correo.com,Masculino,,Sonsonate,premium,fechaNacimiento_vacio
158,Juan Hernandez Rojas,juan.hernandez.rojas4@mail.com,Masculino,,San Salvador,premium,fechaNacimiento_vacio
159,Andres Aguilar Aguilar,andres.aguilar.aguilar5@example.com,Femenino,,San Salvador,No especificado,fechaNacimiento_vacio
160,Diego Ortiz Martinez,diego.ortiz.martinez6@correo.com,Femenino,,La Libertad,regular,fechaNacimiento_vacio
161,Juan Lopez Castillo,juan.lopez.castillo0@example.com,Femenino,,Sonsonate,pyme,fechaNacimiento_vacio
162,Luis Mendoza Chavez,luis.mendoza.chavez1@mail.com,Femenino,,La Libertad,premium,fechaNacimiento_vacio
164,Marta Garcia Morales,marta.garcia.morales3@correo.com,,,Santa Ana,regular,genero_vacio;fechaNacimiento_vacio
166,Pedro Cruz Martinez,pedro.cruz.martinez5@example.com,Femenino,,Sonsonate,vip,fechaNacimiento_vacio
167,Carlos Vasquez Torres,carlos.vasquez.torres6@correo.com,,,La Libertad,regular,genero_vacio;fechaNacimiento_vacio
169,Daniela Vasquez Garcia,daniela.vasquez.garcia1@gmail.com,Masculino,,Sonsonate,premium,fechaNacimiento_vacio
170,Carmen Reyes Mendoza,carmen.reyes.mendoza2@correo.com,Femenino,,San Salvador,pyme,fechaNacimiento_vacio
172,Lucia Flores Lopez,lucia.flores.lopez4@mail.com,Femenino,,San Miguel,No especificado,fechaNacimiento_vacio
173,Juan Garcia Aguilar,juan.garcia.aguilar5@correo.com,Femenino,,San Miguel,pyme,fechaNacimiento_vacio
174,Lucia Morales Garcia,lucia.morales.garcia6@gmail.com,Femenino,,San Salvador,No especificado,fechaNacimiento_vacio
175,Lucia Mendoza Perez,lucia.mendoza.perez0@mail.com,Femenino,,La Libertad,pyme,fechaNacimiento_vacio
176,Fernanda Morales Cruz,fernanda.morales.cruz1@correo.com,Femenino,,San Salvador,pyme,fechaNacimiento_vacio
177,Karla Lopez Cruz,karla.lopez.cruz2@gmail.com,Femenino,,Sonsonate,premium,fechaNacimiento_vacio
179,Marta Santos Torres,marta.santos.torres4@example.com,Masculino,,Santa Ana,premium,fechaNacimiento_vacio
180,Andres Castillo Flores,andres.castillo.flores5@gmail.com,Femenino,,Sonsonate,vip,fechaNacimiento_vacio
181,Pedro Morales Mendoza,pedro.morales.mendoza6@seguro.sv,Femenino,,La Libertad,No especificado,fechaNacimiento_vacio
182,Ricardo Cruz Cruz,ricardo.cruz.cruz0@correo.com,,,Sonsonate,pyme,genero_vacio;fechaNacimiento_vacio
183,Fernanda Mendoza Perez,fernanda.mendoza.perez1@correo.com,Femenino,,La Libertad,vip,fechaNacimiento_vacio
184,Fernanda Ramirez Martinez,fernanda.ramirez.martinez2@gmail.com,Femenino,,San Salvador,No especificado,fechaNacimiento_vacio
185,Fernanda Ramirez Aguilar,fernanda.ramirez.aguilar3@example.com,Femenino,,Santa Ana,vip,fechaNacimiento_vacio
186,Ricardo Cruz Torres,ricardo.cruz.torres4@correo.com,Masculino,,San Miguel,pyme,fechaNacimiento_vacio
187,Fernanda Vasquez Castillo,fernanda.vasquez.castillo5@seguro.sv,,,La Libertad,premium,genero_vacio;fechaNacimiento_vacio
188,Pedro Reyes Rojas,pedro.reyes.rojas6@correo.com,Femenino,,San Miguel,No especificado,fechaNacimiento_vacio
189,Jorge Rojas Castillo,jorge.rojas.castillo0@correo.com,,1953-09-03,Santa Ana,No especificado,genero_vacio
190,Marta Flores Aguilar,marta.flores.aguilar1@seguro.sv,,,San Miguel,premium,genero_vacio;fechaNacimiento_vacio
191,Fernanda Aguilar Gomez,fernanda.aguilar.gomez2@mail.com,Masculino,,San Salvador,vip,fechaNacimiento_vacio
194,Daniela Flores Ortiz,daniela.flores.ortiz5@seguro.sv,Femenino,,San Salvador,premium,fechaNacimiento_vacio
195,Diego Ramirez Torres,diego.ramirez.torres6@example.com,Femenino,,San Salvador,pyme,fechaNacimiento_vacio
196,Paula Santos Cruz,paula.santos.cruz0@mail.com,Masculino,,San Salvador,pyme,fechaNacimiento_vacio
197,Lucia Ortiz Aguilar,lucia.ortiz.aguilar1@correo.com,Masculino,,La Libertad,No especificado,fechaNacimiento_vacio
198,Jose Mendoza Martinez,jose.mendoza.martinez2@gmail.com,,,San Salvador,regular,genero_vacio;fechaNacimiento_vacio
199,Fernanda Santos Martinez,fernanda.santos.martinez3@example.com,Femenino,,Sonsonate,pyme,fechaNacimiento_vacio
201,Maria Mendoza Vasquez,maria.mendoza.vasquez5@correo.com,Masculino,,Sonsonate,No especificado,fechaNacimiento_vacio
202,Lucia Reyes Lopez,lucia.reyes.lopez6@seguro.sv,,,San Miguel,pyme,genero_vacio;fechaNacimiento_vacio
203,Andres Gomez Santos,andres.gomez.santos0@gmail.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
204,Luis Morales Perez,luis.morales.perez1@example.com,Masculino,,San Salvador,pyme,fechaNacimiento_vacio
205,Pedro Flores Hernandez,pedro.flores.hernandez2@seguro.sv,,1951-11-20,Sonsonate,pyme,genero_vacio
206,Jose Lopez Garcia,jose.lopez.garcia3@gmail.com,Femenino,,La Libertad,regular,fechaNacimiento_vacio
208,Luis Flores Castillo,luis.flores.castillo5@mail.com,Femenino,,San Miguel,regular,fechaNacimiento_vacio
210,Luis Castillo Lopez,luis.castillo.lopez0@gmail.com,,,La Libertad,pyme,genero_vacio;fechaNacimiento_vacio
211,Karla Perez Castillo,karla.perez.castillo1@correo.com,,,Santa Ana,regular,genero_vacio;fechaNacimiento_vacio
212,Carlos Aguilar Santos,carlos.aguilar.santos2@seguro.sv,Femenino,,San Miguel,No especificado,fechaNacimiento_vacio
213,Sofia Santos Ortiz,sofia.santos.ortiz3@gmail.com,Femenino,,Santa Ana,regular,fechaNacimiento_vacio
214,Maria Rojas Aguilar,maria.rojas.aguilar4@correo.com,Femenino,,La Libertad,vip,fechaNacimiento_vacio
215,Paula Torres Aguilar,paula.torres.aguilar5@gmail.com,,1992-03-26,San Salvador,No especificado,genero_vacio
218,Diego Chavez Vasquez,diego.chavez.vasquez1@gmail.com,Masculino,,San Miguel,pyme,fechaNacimiento_vacio
219,Jose Castillo Rojas,jose.castillo.rojas2@correo.com,Femenino,,San Miguel,premium,fechaNacimiento_vacio
220,Daniela Aguilar Vasquez,daniela.aguilar.vasquez3@seguro.sv,Femenino,,San Miguel,vip,fechaNacimiento_vacio
221,Ana Reyes Hernandez,ana.reyes.hernandez4@correo.com,Masculino,,Sonsonate,regular,fechaNacimiento_vacio
222,Fernanda Rojas Chavez,fernanda.rojas.chavez5@correo.com,Femenino,,La Libertad,No especificado,fechaNacimiento_vacio
223,Sofia Chavez Santos,sofia.chavez.santos6@correo.com,Masculino,,San Salvador,vip,fechaNacimiento_vacio
224,Fernanda Gomez Vasquez,fernanda.gomez.vasquez0@mail.com,Femenino,,Sonsonate,No especificado,fechaNacimiento_vacio
225,Lucia Torres Morales,lucia.torres.morales1@example.com,,1992-08-29,Santa Ana,No especificado,genero_vacio
226,Jorge Garcia Perez,jorge.garcia.perez2@example.com,Masculino,,San Miguel,No especificado,fechaNacimiento_vacio
227,Lucia Rojas Torres,lucia.rojas.torres3@seguro.sv,Femenino,,Sonsonate,No especificado,fechaNacimiento_vacio
228,Carmen Aguilar Castillo,carmen.aguilar.castillo4@seguro.sv,Femenino,,San Miguel,pyme,fechaNacimiento_vacio
229,Luis Ramirez Morales,luis.ramirez.morales5@seguro.sv,,,La Libertad,pyme,genero_vacio;fechaNacimiento_vacio
230,Carmen Garcia Santos,carmen.garcia.santos6@correo.com,Femenino,,San Miguel,No especificado,fechaNacimiento_vacio
232,Valeria Ortiz Vasquez,valeria.ortiz.vasquez1@mail.com,,1988-08-17,Santa Ana,vip,genero_vacio
233,Diego Castillo Martinez,diego.castillo.martinez2@mail.com,,,Santa Ana,No especificado,genero_vacio;fechaNacimiento_vacio
234,Pedro Torres Rojas,pedro.torres.rojas3@correo.com,Masculino,,Sonsonate,No especificado,fechaNacimiento_vacio
236,Luis Rojas Martinez,luis.rojas.martinez5@correo.com,Femenino,,Santa Ana,premium,fechaNacimiento_vacio
237,Lucia Aguilar Perez,lucia.aguilar.perez6@seguro.sv,,,San Salvador,pyme,genero_vacio;fechaNacimiento_vacio
238,Daniela Flores Vasquez,daniela.flores.vasquez0@example.com,Femenino,,San Salvador,regular,fechaNacimiento_vacio
239,Maria Ortiz Morales,maria.ortiz.morales1@correo.com,,,San Miguel,regular,genero_vacio;fechaNacimiento_vacio
240,Fernanda Santos Perez,fernanda.santos.perez2@example.com,Masculino,,San Salvador,pyme,fechaNacimiento_vacio
241,Ana Hernandez Gomez,ana.hernandez.gomez3@seguro.sv,Masculino,,San Miguel,regular,fechaNacimiento_vacio
242,Maria Vasquez Flores,maria.vasquez.flores4@correo.com,Femenino,,San Miguel,pyme,fechaNacimiento_vacio
243,Maria Hernandez Lopez,maria.hernandez.lopez5@correo.com,Femenino,,Sonsonate,vip,fechaNacimiento_vacio
244,Ana Reyes Hernandez,ana.reyes.hernandez6@seguro.sv,Masculino,,La Libertad,vip,fechaNacimiento_vacio
245,Jose Reyes Vasquez,jose.reyes.vasquez0@correo.com,Masculino,,San Salvador,No especificado,fechaNacimiento_vacio
246,Ana Torres Gomez,ana.torres.gomez1@correo.com,Masculino,,La Libertad,pyme,fechaNacimiento_vacio
247,Sofia Garcia Hernandez,sofia.garcia.hernandez2@gmail.com,,,La Libertad,premium,genero_vacio;fechaNacimiento_vacio
248,Diego Flores Garcia,diego.flores.garcia3@gmail.com,Femenino,,San Salvador,premium,fechaNacimiento_vacio
249,Daniela Torres Mendoza,daniela.torres.mendoza4@example.com,Masculino,,Santa Ana,pyme,fechaNacimiento_vacio
250,Jose Cruz Aguilar,jose.cruz.aguilar5@gmail.com,Femenino,,San Miguel,pyme,fechaNacimiento_vacio
251,Jorge Rojas Vasquez,jorge.rojas.vasquez6@seguro.sv,Masculino,,Sonsonate,vip,fechaNacimiento_vacio
252,Valeria Ramirez Martinez,valeria.ramirez.martinez0@seguro.sv,Masculino,,Sonsonate,pyme,fechaNacimiento_vacio
253,Lucia Garcia Ortiz,lucia.garcia.ortiz1@example.com,Masculino,,San Salvador,premium,fechaNacimiento_vacio
254,Luis Ortiz Reyes,luis.ortiz.reyes2@mail.com,Femenino,,Santa Ana,premium,fechaNacimiento_vacio
255,Maria Rojas Hernandez,maria.rojas.hernandez3@mail.com,Femenino,,San Salvador,premium,fechaNacimiento_vacio
256,Ana Gomez Aguilar,ana.gomez.aguilar4@example.com,Femenino,,Santa Ana,vip,fechaNacimiento_vacio
257,Ana Reyes Rojas,ana.reyes.rojas5@example.com,Femenino,,La Libertad,No especificado,fechaNacimiento_vacio
258,Pedro Martinez Aguilar,pedro.martinez.aguilar6@correo.com,Femenino,,Sonsonate,premium,fechaNacimiento_vacio
259,Daniela Lopez Martinez,daniela.lopez.martinez0@seguro.sv,Femenino,,Santa Ana,vip,fechaNacimiento_vacio
260,Fernanda Rojas Cruz,fernanda.rojas.cruz1@example.com,Femenino,,Sonsonate,vip,fechaNacimiento_vacio
261,Daniela Martinez Gomez,daniela.martinez.gomez2@mail.com,,,La Libertad,regular,genero_vacio;fechaNacimiento_vacio
263,Jorge Aguilar Ramirez,jorge.aguilar.ramirez4@correo.com,Femenino,,La Libertad,premium,fechaNacimiento_vacio
264,Fernanda Vasquez Lopez,fernanda.vasquez.lopez5@example.com,Masculino,,Sonsonate,pyme,fechaNacimiento_vacio
267,Luis Cruz Castillo,luis.cruz.castillo1@seguro.sv,Femenino,,La Libertad,premium,fechaNacimiento_vacio
